"id","req_specification","class"
"667","That's the kind of thing that we want to capture, put on the issues log and .","NULL"
"15","As a site member, I want to mark my email address as private even if the rest of my profile is not, so that no one can contact me.","F"
"435","Hi. Who do we have on the call?","NULL"
"1081","until now.","NULL"
"78","Have you decided ?","NULL"
"926","OK, thanks. We'll talk to you guys later.","NULL"
"1174","If you're running it on your phone.","NULL"
"773","Exactly.","NULL"
"613","That's it. That won't take long. Probably about, I'll say one hour. It's not going to be that hard, really, once I get the stored procedure done.","NULL"
"306","So what do we have?","NULL"
"205",". This is the one I showed you.","NULL"
"347","","NULL"
"866","Microsoft, they came up with...what is it called? Local DB. SQL Express is its own Window service that runs as an entirely separate Windows service. They have a version called Local DB which is a process. When your program connects to a local DB database it's not a Window service that's already running in the background, but it kicks off an even more stripped down version of SQL Server that runs as just a plain old process.","NULL"
"1188","As a Staff member, I want to Manage Approved Proffers, so that I can ensure compliance with and satisfaction of the proffer in the future.","F"
"994","As a Researcher, I want an integration with https://data.mendeley.com/, so that I can validate my data upon ingest to the service.","A"
"1134","That makes sense, because it's his data.","NULL"
"140","Get the whole team, except for Susan!","NULL"
"60","As a trainer, I want to create an Other Course or Event I am charged a listing fee for that activity, so that I don't list events I don't really intend to hold.","F"
"1111","Yes.","NULL"
"125","As a Staff member, I need to be notified when Geospatial attributes change, so that I can ensure that I am reviewing the permit/application to the most current data and appropriate standards.","F"
"282","We do.","NULL"
"1148","As a camp worker, I would be able to submit a completion report for the tasks which was assigned to me.","F"
"441","As a Plan Review Staff member, I want to successfully Conduct a Plan Review Meeting with the Applicant and record the outcome, so that I can listen to it again.","F"
"275","As a Staff member, I want to Prepare for and Support Hearing Execution, so that I can ensure all pre-hearing requirements are satisfied and staff and Applicant are ready for the hearing.","F"
"548","As a user researcher, I want to continue scheduling interviews for hypothesis #1, so that I can be prepared to test our first prototype.","A"
"1140","As a user, I want to click on the address, so that it takes me to a new tab with Google Maps.","F"
"244","As a web recruiter manager, I want to confirm the recruiter is set up and working properly on Science360.gov.","F"
"427","As a UI designer, I want to move on to round 2 of DABS or FABS landing page edits, so that I can get approvals from leadership.","F"
"725","As a content designer, I want to demonstrate the value of user-centered content design to ensure it's an integral part of our recommendations.","A"
"555","Project managers, they will help with that. We can get a ScrumMaster.","NULL"
"1012","Good.","NULL"
"149","I'm not touching that.","NULL"
"1131","As a camp administrator, I want to be able to see all my camp groups and the events scheduled for each camp group, so that I can notify counselor of what their group will be doing for the day.","F"
"173","The Dashboard is done, as far as I'm concerned.","NULL"
"206","Yeah. These are all disconnect. Sorry if I didn't make that clear.","NULL"
"739","As an employee, I want to get quick notifications, so that I can process cases the first time.","F"
"964","As a team member, I want to understand how work moves between UX/content > visual design > front end dev for a sprint cycle.","A"
"87","This is a journal update. This is similar to frames. It's a frame update but it's a journal change.","NULL"
"326","As a Data user, I want to have the 12-19-2017 deletions processed","F"
"71","As a team member, I want to have an updated acquisitions roadmap, so that I can plan accordingly.","A"
"268","As a Developer , I want to clarify to users what exactly is triggering the CFDA error code in each case.","F"
"328","This would mean that DC3 would need to be loaded on those techs' laptops?","NULL"
"1207","Are there enough floater owner laptops around to where if a tech needs to go out and say, 'Hey, I need to spend an afternoon doing these cycle counts,' he could get one?","NULL"
"900","As a developer, I want to have the site comply with the W3C accessibility guidelines where possible, so that people with accessibility issues can use the application.","A"
"448","As a parent, I want to be able to submit various type of forms to the camp management.","F"
"1058","As a ResearcherPublisher, I want to specify the funding that contributed to the creation of a given dataset, so that funding agencies can identify the funding, source for a given dataset.","F"
"1172",".","NULL"
"748","I don't have anything on my list for Frontier this morning. Brian, did you have anything that we needed to ask them on this call, or do we need another call to talk about conversion?","NULL"
"1126","As a Consumer, I want to see how active the site is, so that I can decide if I should get involved.","F"
"726","As a tester, I want to ensure that FABS is deriving fields properly through a robust test file plus a follow up check.","A"
"284","You go to the map, on that map, you show whatever you want and from there, you can do what you want. There still has to be a way to filter down to something. I'm not real sure how to group that together in the sense of, say if I have something like a list of contracts.","NULL"
"62","I think we're on that section. I want them to be trained.","NULL"
"177","As a stakeholder, I want to have a decision on whether or not the blog aggregator may work for beta, and if not what will.","A"
"831","Agreed.","NULL"
"928","As a camp worker, I'm able to report necessary repairs to the manager that the camp is needed of.","F"
"1206",".","NULL"
"86","Mugshots burgers are...","NULL"
"870","What about that?","NULL"
"28","I saw the start date at 3/14 .","NULL"
"483","As a user, I want to add a video to my article.","F"
"303","That could be done by someone else other than you.","NULL"
"1157","As a moderator, I want to export a transcript of a game as a CSV file, so that I can further process the stories and estimates.","F"
"906","There it is. All of this has my name on it. Let's see what Kevin . Yeah, he's supposed to test that and...","NULL"
"936","As a broker team member, I want to derive FundingAgencyCode, so that the data quality and completeness improves.","F"
"156","As an employee, I want to access the route planning system during work, so that I can be guided through the neighbourhood.","A"
"681","As an admin, I want to have all data encrypted, so that important information will not be stolen during a server breach or an attack.","A"
"566","Yes.","NULL"
"279","Alright, thank you.","NULL"
"82","As a moderator, I want to browse through previous games, so that I can find the previous game I’m looking for.","F"
"546","I think when you...","NULL"
