"id","class"
1,"F"
2,"NULL"
3,"F"
4,"NULL"
5,"A"
6,"NULL"
7,"F"
8,"NULL"
9,"F"
10,"NULL"
11,"NULL"
12,"NULL"
13,"F"
14,"F"
15,"F"
16,"F"
17,"A"
18,"F"
19,"NULL"
20,"NULL"
21,"NULL"
22,"F"
23,"NULL"
24,"F"
25,"F"
26,"NULL"
27,"A"
28,"NULL"
29,"A"
30,"NULL"
31,"F"
32,"F"
33,"F"
34,"F"
35,"NULL"
36,"F"
37,"NULL"
38,"NULL"
39,"F"
40,"NULL"
41,"NULL"
42,"F"
43,"F"
44,"NULL"
45,"NULL"
46,"F"
47,"NULL"
48,"NULL"
49,"NULL"
50,"F"
51,"NULL"
52,"A"
53,"F"
54,"F"
55,"NULL"
56,"NULL"
57,"F"
58,"NULL"
59,"NULL"
60,"F"
61,"NULL"
62,"NULL"
63,"NULL"
64,"F"
65,"NULL"
66,"NULL"
67,"NULL"
68,"F"
69,"A"
70,"NULL"
71,"A"
72,"A"
73,"A"
74,"NULL"
75,"NULL"
76,"F"
77,"NULL"
78,"NULL"
79,"F"
80,"NULL"
81,"F"
82,"F"
83,"A"
84,"A"
85,"F"
86,"NULL"
87,"NULL"
88,"NULL"
89,"A"
90,"NULL"
91,"F"
92,"F"
93,"NULL"
94,"NULL"
95,"NULL"
96,"NULL"
97,"NULL"
98,"NULL"
99,"A"
100,"F"
101,"NULL"
102,"A"
103,"NULL"
104,"NULL"
105,"A"
106,"A"
107,"NULL"
108,"F"
109,"A"
110,"F"
111,"F"
112,"A"
113,"A"
114,"NULL"
115,"NULL"
116,"A"
117,"A"
118,"NULL"
119,"NULL"
120,"NULL"
121,"NULL"
122,"F"
123,"NULL"
124,"NULL"
125,"F"
126,"NULL"
127,"NULL"
128,"F"
129,"F"
130,"NULL"
131,"F"
132,"A"
133,"F"
134,"NULL"
135,"NULL"
136,"F"
137,"NULL"
138,"F"
139,"NULL"
140,"NULL"
141,"NULL"
142,"NULL"
143,"NULL"
144,"A"
145,"NULL"
146,"NULL"
147,"NULL"
148,"F"
149,"NULL"
150,"F"
151,"NULL"
152,"F"
153,"NULL"
154,"F"
155,"NULL"
156,"A"
157,"F"
158,"NULL"
159,"F"
160,"F"
161,"F"
162,"NULL"
163,"NULL"
164,"NULL"
165,"F"
166,"F"
167,"NULL"
168,"NULL"
169,"F"
170,"NULL"
171,"F"
172,"NULL"
173,"NULL"
174,"NULL"
175,"A"
176,"F"
177,"A"
178,"F"
179,"F"
180,"NULL"
181,"NULL"
182,"NULL"
183,"F"
