"id","req_specification","class"
"1","As a camp administrator, I want to be able to keep camper records from previous years, so that the amount of work I need to do is lowered.","F"
"2","It's all got to integrate together at some point.","NULL"
"3","As a member, I want to receive a reminder and a link, so that I can renew my membership.","F"
"4","He's trying to slack off, guys.","NULL"
"5","As an NSF employee, I want to see how the user recruitment form looks and behaves on a sample page, so that I can understand the impact the recruitment will have on the NSF page.","A"
"6","Who is this, Joy?","NULL"
"7","As a parent, I want to be able to create an account, so that I can sign up my kids for camp online.","F"
"8","Yeah, that's fine.","NULL"
"9","As a site admin, I want to delete any course or event, so that I can remove things that will no longer occur.","F"
"10","I can't remember if I ran that section against dev or not, I'll double-check.","NULL"
"11","No, you're talking warehouse. Warehouse cycle count is different from the field.","NULL"
"12","I'm just trying to find a way that would be an epic home page.","NULL"
"13","As a Planning Staff member, I want to Evaluate Consistency with the Comprehensive Plan, so that I can complete my required review of a plan set and/or application.","F"
"14","As a visitor, I want to download presentations, PDFs, etc. on Scrum, so that I can learn from them or use them.","F"
"15","As a site member, I want to mark my email address as private even if the rest of my profile is not, so that no one can contact me.","F"
"16","As a Consumer, I want to view a publisher's profile, so that that I can see who is behind a particular package or to see what other packages they produce.","F"
"17","As an NSF employee, I want to have an updated roadmap document, so that I can see prioritized areas to focus on for the next few months and beyond.","A"
"18","As a site member, I want to describe myself on my own page in a semi-structured way, so that others can learn about me.","F"
"19","Just to say, ""This is what we're doing,"" and then build from there, unless you...","NULL"
"20","We were just looking at that before we got on the call with you guys, so I should be able to give you an update tomorrow once we finish looking at it.","NULL"
"21","Yeah. That's good.","NULL"
"22","As a site admin, I want to view all classes in a pending state, so that I can approve any that need to be approved.","F"
"23","It's Friday.","NULL"
"24","As an Agency user, I want to accurately see who created a submission, so that I'm not confused about who last updated a submission.","F"
"25","As a moderator, I want to copy/paste stories from a spreadsheet, so that I can get started more quickly.","F"
"26","customers.","NULL"
"27","As an NSF employee, I want to have a final workshop to identify key lessons and features for the content management system decision.","A"
"28","I saw the start date at 3/14 .","NULL"
"29","As a Developer , I want the historical FPDS data loader to include both extracted historical data and FPDS feed data.","A"
"30","I was just looking at that.","NULL"
"31","As a site editor, I want to post information in a trainers-only section, so that only trainers see it.","F"
"32","As a Zoning Staff member, I want to Issue the Zoning-Related Permits, so that I can satisfy an Applicant's request for service that has proven to be eligible and in compliance with the Zoning Ordinance.","F"
"33","As a site visitor, I want to subscribe to an RSS feed of upcoming courses and events, so that I am up to day without having to visit the site.","F"
"34","As a Staff member, I want to Manage Ordinances, so that I can maintain accurate ordinance information in the System.","F"
"35","It's week three now.","NULL"
"36","As an admin, I want to be able to block specific users based on IP address, so that I can prevent spamming on the websites.","F"
"37","Go with one hour.","NULL"
"38","Brian, I've got here, I think he deciphered these Verizon three warehouses, but I'll double check and arrange to send something. I know they went back and forth a few times. It would be the as far as what they're taking in to the setting, so I'll get back with you on that.","NULL"
"39","As a Planning Staff member, I want to Conduct and Track Plan Amendments and Planning Studies, so that I can record work in process, outcome, and location-based information related to the Plan(s).","F"
"40","OK, HTML file .","NULL"
"41","Help.","NULL"
"42","As a site visitor, I want to do a full-text search of the FAQs, so that I can find an answer quickly.","F"
"43","As an admin, I want to view user error logs, so that I can fix or review any issues that are being faced by users of the system.","F"
"44","Yes, if you had his list, say the primary fields are the Afinium locations, of whatever they call it, ship to, and then the address, city, state, zip code, and I liked Brian's first suggestion if you just go by the city, state, zip code and then maybe list them all side by side, and then the ones that match versus the ones that didn't, we could possibly get somebody to help manually do some of those to at least get started.","NULL"
"45","What are you saying, ""Fast pass,"" or...?","NULL"
"46","As a Development Staff member, I want to Issue a Development-related Permit, so that I can grant the request to the Applicant to begin work","F"
"47","Yeah, a lot of verification.","NULL"
"48","That's why I'm saying like the contracts or whatever it is. It's almost like I don't want it to be a different approach. We're still filtering it down to, if you just want a map or not, the map is there. A lot of the times, I guess when it is...","NULL"
"49","To me, and we talked about this a little bit before. Getting this thing Notify, the HTML5, and getting the JRM functionality in, is imperative. I think we'll be able to sell a lot more and get a lot more recurring revenue if we do that.","NULL"
